date,precip_mm
2000-01-01,16.0
2000-02-01,38.9
2000-03-01,36.9
2000-04-01,59.0
2000-05-01,32.0
2000-06-01,84.4
2000-07-01,101.5
2000-08-01,113.3
2000-09-01,110.8
2000-10-01,149.1
2000-11-01,3.6
2000-12-01,58.6
2001-01-01,16.5
2001-02-01,5.0
2001-03-01,67.4
2001-04-01,29.3
2001-05-01,93.3
2001-06-01,91.2
2001-07-01,135.7
2001-08-01,109.8
2001-09-01,226.7
2001-10-01,110.60000000000001
2001-11-01,65.8
2001-12-01,55.5
2002-01-01,16.0
2002-02-01,44.699999999999996
2002-03-01,33.0
2002-04-01,14.7
2002-05-01,84.6
2002-06-01,197.9
2002-07-01,116.3
2002-08-01,82.0
2002-09-01,72.6
2002-10-01,25.3
2002-11-01,46.8
2002-12-01,20.299999999999997
2003-01-01,20.7
2003-02-01,25.1
2003-03-01,87.0
2003-04-01,36.1
2003-05-01,153.70000000000002
2003-06-01,171.79999999999998
2003-07-01,49.4
2003-08-01,138.6
2003-09-01,136.9
2003-10-01,27.1
2003-11-01,82.0
2003-12-01,39.0
2004-01-01,53.0
2004-02-01,45.5
2004-03-01,9.2
2004-04-01,27.5
2004-05-01,24.8
2004-06-01,50.0
2004-07-01,96.7
2004-08-01,169.7
2004-09-01,153.3
2004-10-01,58.300000000000004
2004-11-01,17.5
2004-12-01,9.6
2005-01-01,46.6
2005-02-01,4.7
2005-03-01,79.7
2005-04-01,47.7
2005-05-01,47.4
2005-06-01,279.5
2005-07-01,82.5
2005-08-01,198.6
2005-09-01,120.8
2005-10-01,134.9
2005-11-01,41.1
2005-12-01,16.5
2006-01-01,5.5
2006-02-01,39.3
2006-03-01,6.6
2006-04-01,50.8
2006-05-01,74.6
2006-06-01,99.2
2006-07-01,125.1
2006-08-01,123.2
2006-09-01,100.2
2006-10-01,38.5
2006-11-01,51.0
2006-12-01,55.5
2007-01-01,21.1
2007-02-01,42.4
2007-03-01,25.1
2007-04-01,30.3
2007-05-01,71.5
2007-06-01,255.5
2007-07-01,172.5
2007-08-01,50.6
2007-09-01,180.3
2007-10-01,156.0
2007-11-01,12.8
2007-12-01,22.8
2008-01-01,32.9
2008-02-01,39.6
2008-03-01,53.6
2008-04-01,44.8
2008-05-01,50.2
2008-06-01,124.4
2008-07-01,119.1
2008-08-01,242.9
2008-09-01,143.7
2008-10-01,127.7
2008-11-01,12.600000000000001
2008-12-01,16.8
2009-01-01,10.5
2009-02-01,6.6000000000000005
2009-03-01,54.8
2009-04-01,12.6
2009-05-01,169.8
2009-06-01,174.6
2009-07-01,108.9
2009-08-01,76.39999999999999
2009-09-01,177.0
2009-10-01,35.7
2009-11-01,22.8
2009-12-01,37.8
2010-01-01,31.2
2010-02-01,92.7
2010-03-01,135.1
2010-04-01,66.3
2010-05-01,45.1
2010-06-01,75.0
2010-07-01,104.5
2010-08-01,175.7
2010-09-01,186.1
2010-10-01,55.6
2010-11-01,26.1
2010-12-01,30.7
2011-01-01,29.2
2011-02-01,9.6
2011-03-01,34.3
2011-04-01,21.0
2011-05-01,23.5
2011-06-01,83.7
2011-07-01,121.4
2011-08-01,183.0
2011-09-01,148.7
2011-10-01,251.7
2011-11-01,25.5
2011-12-01,9.9
2012-01-01,11.2
2012-02-01,39.3
2012-03-01,17.8
2012-04-01,128.7
2012-05-01,154.70000000000002
2012-06-01,152.3
2012-07-01,74.6
2012-08-01,208.20000000000002
2012-09-01,125.6
2012-10-01,107.9
2012-11-01,16.099999999999998
2012-12-01,31.3
2013-01-01,11.8
2013-02-01,51.199999999999996
2013-03-01,31.9
2013-04-01,115.4
2013-05-01,150.1
2013-06-01,151.5
2013-07-01,202.2
2013-08-01,78.4
2013-09-01,144.20000000000002
2013-10-01,40.5
2013-11-01,81.3
2013-12-01,28.0
2014-01-01,81.6
2014-02-01,37.4
2014-03-01,48.5
2014-04-01,10.7
2014-05-01,60.199999999999996
2014-06-01,145.8
2014-07-01,168.6
2014-08-01,106.0
2014-09-01,153.3
2014-10-01,62.9
2014-11-01,78.6
2014-12-01,11.9
2015-01-01,28.5
2015-02-01,41.6
2015-03-01,15.9
2015-04-01,70.2
2015-05-01,23.2
2015-06-01,57.5
2015-07-01,41.4
2015-08-01,124.39999999999999
2015-09-01,156.0
2015-10-01,75.60000000000001
2015-11-01,79.39999999999999
2015-12-01,121.39999999999999
2016-01-01,154.1
2016-02-01,26.0
2016-03-01,52.1
2016-04-01,33.2
2016-05-01,127.9
2016-06-01,155.5
2016-07-01,98.3
2016-08-01,202.0
2016-09-01,178.6
2016-10-01,131.9
2016-11-01,24.1
2016-12-01,49.9
2017-01-01,30.0
2017-02-01,33.5
2017-03-01,35.9
2017-04-01,57.9
2017-05-01,139.9
2017-06-01,326.1
2017-07-01,272.3
2017-08-01,220.8
2017-09-01,323.0
2017-10-01,254.2
2017-11-01,47.6
2017-12-01,23.200000000000003
2018-01-01,100.2
2018-02-01,30.5
2018-03-01,26.900000000000002
2018-04-01,154.6
2018-05-01,438.9
2018-06-01,240.2
2018-07-01,221.70000000000002
2018-08-01,172.1
2018-09-01,168.6
2018-10-01,66.7
2018-11-01,48.4
2018-12-01,39.3
2019-01-01,122.0
2019-02-01,70.2
2019-03-01,87.6
2019-04-01,66.10000000000001
2019-05-01,105.9
2019-06-01,235.4
2019-07-01,174.5
2019-08-01,301.2
2019-09-01,86.7
2019-10-01,108.6
2019-11-01,55.5
2019-12-01,102.3
2020-01-01,20.5
2020-02-01,134.6
2020-03-01,10.9
2020-04-01,68.7
2020-05-01,265.7
2020-06-01,140.0
2020-07-01,191.4
2020-08-01,168.2
2020-09-01,277.0
2020-10-01,310.4
2020-11-01,207.3
2020-12-01,45.6
2021-01-01,18.1
2021-02-01,65.8
2021-03-01,28.2
2021-04-01,56.9
2021-05-01,71.0
2021-06-01,174.0
2021-07-01,202.1
2021-08-01,140.0
2021-09-01,307.0
2021-10-01,76.1
2021-11-01,157.1
2021-12-01,30.3
2022-01-01,177.5
2022-02-01,91.89999999999999
2022-03-01,69.4
2022-04-01,124.30000000000001
2022-05-01,176.1
2022-06-01,408.3
2022-07-01,123.89999999999999
2022-08-01,176.8
2022-09-01,383.2
2022-10-01,125.6
2022-11-01,118.10000000000001
2022-12-01,122.39999999999999
2023-01-01,16.0
2023-02-01,46.7
2023-03-01,122.69999999999999
2023-04-01,191.1
2023-05-01,182.7
2023-06-01,299.0
2023-07-01,242.2
2023-08-01,245.70000000000002
2023-09-01,217.5
2023-10-01,116.9
2023-11-01,303.3
2023-12-01,293.79999999999995
2024-01-01,84.6
2024-02-01,82.3
2024-03-01,201.29999999999998
2024-04-01,32.2
2024-05-01,62.1
2024-06-01,392.6
2024-07-01,171.0
2024-08-01,289.3
2024-09-01,257.5
2024-10-01,231.5
2024-11-01,44.5
2024-12-01,93.5
