agency_cd,site_no,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
USGS,251822080153201,OR-2,GW,251822,0801532,25.3065051,-80.25866329,M,U,NAD27,NAD83,122,12,087,US,,,,,,,,03090203,21,L,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19930203,,,EST,Y,U,YYNNNNNN,,,,15,,,
USGS,251845080162801,OR-1A,GW,251845,0801628,25.3128938,-80.2742192,M,U,NAD27,NAD83,122,12,087,US,,,,,,,,03090203,21,L,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19930203,,,EST,Y,U,YYNNNNNN,,,,40,,,
USGS,251845080162802,OR-1B,GW,251845,0801628,25.3128938,-80.2742192,M,U,NAD27,NAD83,122,12,087,US,,,,,,,,03090203,21,L,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19930203,,,EST,Y,U,YYNNNNNN,,,,10,,,
USGS,251918080161701,ORO-1A,GW,251908,0801646,25.31928247,-80.2792194,M,U,NAD27,NAD83,122,12,087,US,      S   T     R,,,,,,,03090203,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19930303,,,EST,Y,U,YYNNNNNN,,,,40,,,
USGS,251918080161702,ORO-1B,GW,251908,0801646,25.31928247,-80.2792194,M,S,NAD27,NAD83,122,12,087,US,      S   T     R,,,,,,,03090203,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,19930303,,,EST,Y,U,YYNNNNNN,,,,40,,,
USGS,252058080202501,S  -3001,GW,252058,0802025,25.34983714,-80.3400542,M,U,NAD27,NAD83,122,12,086,US,      S28 T58S  R40E  T,CARD SOUND,24000, 9.70,U, .1,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,S400FLORDN,120FLRD,,2000,,,459831200
USGS,252322080143201,G  -3654,GW,254322,0801432,25.7231565,-80.2419942,M,S,NAD27,NAD83,122,12,086,US,      S   T     R,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960515,19960610,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,20,23,,61800
USGS,252626080222001,GB -   1,GW,252626,0802220,25.44094497,-80.37199909,M,U,NAD27,NAD83,122,12,086,US,      S30 T57S  R40E  T,ARSENICKER KEYS,24000, 2.76,U,.01,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,,,EST,Y,C,YYNNNNNN,,,,1225,,,459831200
USGS,252746080222501,G  -3386A   MR-BK-DN-D,GW,252746,0802225,25.46316636,-80.3733879,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252746080222502,G  -3386B   MR-BK-DN-M,GW,252746,0802225,25.46316636,-80.3733879,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252746080222503,G  -3386C   MR-BK-DN-S,GW,252746,0802225,25.46316636,-80.3733879,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,10,,O,
USGS,252750080222701,G  -3385A   MR-BK-MD-D,GW,252750,0802227,25.46427744,-80.37394349,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252750080222702,G  -3385B   MR-BK-MD-M,GW,252750,0802227,25.46427744,-80.37394349,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252750080222703,G  -3385C   MR-BK-MD-S,GW,252750,0802227,25.46427744,-80.37394349,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252755080222901,G  -3384A   MR-BK-UP-D,GW,252755,0802229,25.46566628,-80.374499,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252755080222902,G  -3384B   MR-BK-UP-M,GW,252755,0802229,25.46566628,-80.374499,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252755080222903,G  -3384C   MR-BK-UP-S,GW,252755,0802229,25.46566628,-80.374499,M,S,NAD27,NAD83,122,12,086,US,      S18 T57S  R40E  T,"ARSENICKER KEYS, FL",  24000, 3,N,4.3,NAVD88,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19850101,,,,EST,Y,C,YNNNNYNN,N400BISCYN,112BSCNN,U,9,,O,
USGS,252812080234501,G  -1035A,GW,252812,0802345,25.47038846,-80.3956106,M,S,NAD27,NAD83,122,12,086,US,SWSWNWS13 T57S  R39E  T,HOMESTEAD, 24000,,,,,03090202,21,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19701119,19701119,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,60,,O,459800200
USGS,252813080204701,G  -3756,GW,252813.09,0802047.44,25.4706909,-80.34628729,D,1,NAD27,NAD83,122,12,086,US,      S   T     R,,, 5.33,L,.01,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20010323,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,,92.9,,
USGS,252813080204702,G  -3757,GW,252813.09,0802047.57,25.4706909,-80.3463234,D,1,NAD27,NAD83,122,12,086,US,      S   T     R,,, 5.76,L,.01,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20010323,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,,65.6,,
USGS,252813080204703,G  -3758,GW,252813.11,0802047.71,25.47069646,-80.34636229,D,1,NAD27,NAD83,122,12,086,US,      S   T     R,,, 5.44,L,.01,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20010323,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,,30.7,,
USGS,252823080202501,G  -3638,GW,252823,0802025,25.47344353,-80.3400538,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960507,19960610,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,,,,61800
USGS,252825080221201,G  -3759,GW,252825.30,0802212.52,25.47408259,-80.3699211,D,1,NAD27,NAD83,122,12,086,US,      S   T     R,,, 3.42,L,.01,NGVD29,03090202,21,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,20010323,,,EST,Y,C,YYNNNYNN,N400BISCYN,112BSCNN,U,,95.4,,
USGS,252826080202401,G  -3629,GW,252826,0802024,25.47427683,-80.339776,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960501,19960606,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,37.7,43,,
USGS,252828080201502,G  -3632,GW,252828,0802015,25.47483235,-80.337276,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960502,19960606,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,11,11,,61800
USGS,252828080801501,G  -3631,GW,252828,0802015,25.47483235,-80.337276,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960503,19960606,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,20,20,,61800
USGS,252829080195901,G  -3636,GW,252829,0801959,25.47511009,-80.3328314,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960506,19960606,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,20,20,,61800
USGS,252829080195902,G  -3637,GW,252829,0801959,25.47511009,-80.3328314,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960506,19960606,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,11,11,,61800
USGS,252829080200701,G  -3634,GW,252829,0802007,25.4751101,-80.33505369,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960505,19960606,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,20,20,,61800
USGS,252829080200702,G  -3635,GW,252829,0802007,25.4751101,-80.33505369,M,S,NAD27,NAD83,122,12,086,US,,,,,,,,03090202,21,O,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19960505,19960606,,,EST,Y,C,YYNNNNNN,N400BISCYN,112BSCNN,U,11,11,,61800
